confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.1,0.45,0.7996586867503912,0.3208507544082894,0.8733300346363186,0.46929008242488696,5501
0.1,0.5,0.798495959938864,0.2946547144754316,0.8782780801583374,0.4412678682411435,6024
0.1,0.4,0.7984577664945947,0.34434611602753196,0.8664027709054923,0.49282296650717705,5085
0.15,0.45,0.797195314057492,0.43316831683168316,0.8659079663532905,0.5774624649397789,4040
0.1,0.55,0.7967018595301595,0.2661122661122661,0.8866897575457694,0.4093660765276985,6734
0.15,0.4,0.796216133085698,0.4634861407249467,0.8604651162790697,0.6024597263121427,3752
0.15,0.5,0.7955550008236547,0.40325538743695555,0.8703612073231074,0.5511514961616795,4362
0.15,0.55,0.7946187354839336,0.3688575575368028,0.880257298367145,0.5198714202220924,4823
0.1,0.6,0.7916471681395911,0.23155183515775918,0.8896585848589807,0.36746372368689967,7765
0.2,0.45,0.7903304698592765,0.5180831826401446,0.8505690252350322,0.6439408128863082,3318
0.2,0.5,0.7898359925018309,0.48636491425358447,0.8560118753092528,0.6202940121907493,3557
0.15,0.6,0.789712541269302,0.32572576227861966,0.8827313211281543,0.4758602293945052,5477
0.2,0.4,0.7895933004735978,0.5474896066517428,0.847105393369619,0.6651126651126651,3127
0.1,0.3,0.787703528376845,0.3737130339539978,0.8441365660564077,0.518068630428181,4565
0.2,0.55,0.7875808528362915,0.4493687194022159,0.8629391390400791,0.5909861064046085,3881
0.15,0.3,0.7864301529701425,0.49461112729391205,0.8401781296387927,0.6226622662266227,3433
0.2,0.6,0.7835980801802935,0.39922392147911434,0.8654131618010885,0.5463917525773196,4381
0.25,0.45,0.7831584180809577,0.5865650969529086,0.8381989114299851,0.6901609289060909,2888
0.25,0.5,0.78226071300518,0.5535714285714286,0.8436417615042059,0.668496373260145,3080
0.25,0.4,0.7817726097959594,0.617075851960425,0.8332508659079664,0.7090526315789473,2729
0.25,0.55,0.7807396574279547,0.5159350571256764,0.8490846115784265,0.6418552459322984,3326
0.2,0.3,0.7796362202188206,0.5785095320623916,0.8258287976249381,0.6803913575214023,2885
0.3,0.45,0.7775290613503756,0.6431870669745958,0.8268184067293419,0.7235332323013639,2598
0.25,0.6,0.7772106307723781,0.4641509433962264,0.8520534388916378,0.6009422439364858,3710
0.3,0.5,0.7765671386068798,0.6115762650163815,0.8312716476991588,0.7046979865771812,2747
0.3,0.4,0.7754350096202718,0.671526933981369,0.8203859475507175,0.7385300668151447,2469
0.3,0.55,0.7745484593229035,0.5735643900781515,0.8352300841167739,0.6800966962127317,2943
0.35,0.45,0.7714468303494446,0.6866666666666666,0.8154379020286987,0.7455326849129157,2400
0.25,0.3,0.7714040882851763,0.6437818752451941,0.8119742701632855,0.7181619256017505,2549
0.3,0.6,0.7712479664035199,0.5244733581164808,0.8377041068777833,0.6450752524290341,3228
0.35,0.5,0.7696570196527325,0.6569952305246423,0.8179119247897081,0.7286753361251929,2516
0.35,0.55,0.7690556109470318,0.6235470566179228,0.8228599703117269,0.7094709897610921,2667
0.35,0.4,0.7684658356538134,0.7140358548316572,0.8080158337456704,0.7581244196843083,2287
0.35,0.6,0.7664745148433276,0.5738324175824175,0.8268184067293419,0.6774782079870262,2912
0.3,0.3,0.7663169137981422,0.6985357450473729,0.8025729836714498,0.7469491135160028,2322
0.4,0.45,0.7614005934076786,0.729072907290729,0.801583374567046,0.7636106528399718,2222
0.35,0.3,0.7609644077095334,0.7398523985239852,0.793666501731816,0.7658152303652422,2168
0.4,0.5,0.7601571700155489,0.7015955153083225,0.8050470064324592,0.7497695852534562,2319
0.4,0.4,0.7587984721466254,0.7531615925058548,0.7956457199406235,0.7738209817131857,2135
0.4,0.55,0.758576926728949,0.6678936605316973,0.8080158337456704,0.7313031795790417,2445
0.4,0.6,0.7564361153519107,0.6236681887366818,0.8109846610588818,0.7050978705097871,2628
0.4,0.3,0.7511515396618056,0.7752698724239451,0.7817911924789708,0.7785168760778516,2038
0.5,0.45,0.7384664677853822,0.805181347150259,0.7689262741217219,0.7866362946089598,1930
0.5,0.5,0.7381181240741755,0.7808904452226113,0.7723899059871351,0.7766169154228856,1999
0.5,0.4,0.7363440542261832,0.8199681359532661,0.7639782285997031,0.7909836065573771,1883
0.5,0.55,0.735775144575526,0.7525276841598459,0.7733795150915388,0.7628111273792093,2077
0.5,0.6,0.7348596063086401,0.7195233730522457,0.776843146956952,0.7470854151796337,2182
0.5,0.3,0.7316937008759452,0.8384615384615385,0.7550717466600693,0.7945847435563655,1820
