class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.8811368657402905,0.6859683062081214,0.6057411162201666,0.8351063829787234,0.8920454545454546,176,188
dog,0.7866153543133573,0.5996666672701259,0.543075966771632,0.8195121951219512,0.8155339805825242,206,205
car,0.7535151902857692,0.5123670357723016,0.48751693435681503,0.7602739726027398,0.784452296819788,283,292
person,0.7669578994692742,0.4214037875346684,0.4298264776281616,0.7960893854748603,0.7960893854748603,1074,1074
chair,0.5005316343431196,0.25763029409073335,0.27756628473182277,0.6396761133603239,0.5602836879432624,282,247
