class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.8935678374337038,0.7266923706177928,0.6246430072606783,0.8080808080808081,0.9090909090909091,176,198
dog,0.850374964195305,0.6725599525168046,0.5919418197474291,0.6654411764705882,0.8786407766990292,206,272
person,0.8615197201026268,0.5167944298683764,0.4986737424104749,0.5589419206440484,0.9050279329608939,1074,1739
car,0.7804222002153204,0.46416149606956025,0.4551359789465265,0.5182012847965739,0.8551236749116607,283,467
chair,0.6005139112691663,0.2788067175698906,0.31827786765415395,0.36741767764298094,0.75177304964539,282,577
