class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.864323206374257,0.6380874297058541,0.5618718289694917,0.8415300546448088,0.875,176,183
dog,0.7990067883912874,0.622290623653886,0.5275374779156077,0.7424892703862661,0.8398058252427184,206,233
car,0.7381713991139898,0.44749751547806715,0.4497143368843373,0.7194719471947195,0.7703180212014135,283,303
person,0.7610213693115558,0.38494717616455937,0.4091404047969106,0.7583774250440917,0.8007448789571695,1074,1134
chair,0.4288153497640889,0.19252504217347496,0.22169547961288122,0.5714285714285714,0.5106382978723404,282,252
