class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.8385309577253878,0.4736205395353766,0.492829269166831,0.7009345794392523,0.8522727272727273,176,214
dog,0.7634759940056843,0.43305165481047936,0.4312341288368679,0.5804195804195804,0.8058252427184466,206,286
person,0.6569286011977271,0.25791880518761395,0.30811513218826525,0.38800193517174647,0.7467411545623837,1074,2067
car,0.4610374618119169,0.24500576083751488,0.2383912430730925,0.2849264705882353,0.5477031802120141,283,544
chair,0.3895544536100295,0.07215287948148318,0.14491766966418307,0.25506756756756754,0.5354609929078015,282,592
