class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.8762096739944312,0.699275898612435,0.6371747823801506,0.7969543147208121,0.8920454545454546,176,197
dog,0.8514911982263202,0.7233045530355671,0.6233945282845161,0.6976744186046512,0.8737864077669902,206,258
car,0.7686705738816184,0.5262784285463612,0.4984564151506146,0.7055214723926381,0.8127208480565371,283,326
person,0.783116229331268,0.4595325852601926,0.4526859785678427,0.7824529991047449,0.813780260707635,1074,1117
chair,0.5700828513931044,0.3597901095751796,0.34331810394875495,0.5302593659942363,0.6524822695035462,282,347
