confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.1,0.45,0.8110285303852605,0.31726979577212466,0.8762988619495299,0.4658687360252532,5582
0.1,0.4,0.8109746057151186,0.33858570330514987,0.871845620979713,0.4877508650519031,5204
0.1,0.55,0.8097093376846658,0.26334362593736216,0.8861949529935675,0.4060303785989572,6801
0.1,0.5,0.8091875419673775,0.290807981681387,0.8797624938149431,0.43712354025814393,6114
0.15,0.45,0.8076607829366971,0.4314883148831488,0.867887184562098,0.5764048636214263,4065
0.15,0.4,0.8074602385913451,0.45395421436004163,0.8634339435922811,0.5950554134697357,3844
0.15,0.55,0.8072776968130781,0.3657531423861529,0.8782780801583374,0.5164387547279604,4853
0.1,0.3,0.8068287327404938,0.37057688183572807,0.8550222662048491,0.5170556552962298,4663
0.15,0.5,0.8066920163853262,0.398778556887582,0.8723404255319149,0.5473455448618442,4421
0.1,0.6,0.8061419255755222,0.23277756236267286,0.8911429985155863,0.36913301906128304,7737
0.15,0.3,0.8041534655010258,0.4884713919726729,0.8490846115784265,0.6201662450307192,3513
0.15,0.6,0.8034755831058218,0.325059317393685,0.8812469074715488,0.47493333333333343,5479
0.2,0.55,0.8016115309792047,0.4394167923579688,0.8649183572488867,0.582763793965661,3978
0.2,0.45,0.8013879569105024,0.5073443008225617,0.8545274616526473,0.6366820276497696,3404
0.2,0.4,0.8011518361570176,0.5297197412996613,0.851063829787234,0.6529992406985574,3247
0.2,0.5,0.7994603250489857,0.47361225047853434,0.8570014844136566,0.6100739697076436,3657
0.2,0.6,0.7985740952587441,0.3968361581920904,0.8688767936665017,0.5448340055848588,4425
0.2,0.3,0.7979042499104851,0.5670344366432631,0.839188520534389,0.6767757382282522,2991
0.25,0.45,0.7959987809216824,0.5691436187937354,0.8451261751608115,0.6802070888092393,3001
0.25,0.4,0.7955713236223476,0.5946890286512928,0.8421573478476002,0.6971124308826542,2862
0.25,0.55,0.7952559161263545,0.5024788568095655,0.8525482434438397,0.6322935779816514,3429
0.25,0.5,0.79392275908415,0.5366541353383458,0.8476001979218208,0.6572031459812009,3192
0.25,0.6,0.7933094412172733,0.45816838215888095,0.8589807026224642,0.5975903614457831,3789
0.3,0.55,0.7923993820172204,0.5501607717041801,0.8466105888174171,0.6669265250438512,3110
0.25,0.3,0.7922308961491542,0.6285607196401799,0.8297872340425532,0.7152911068458094,2668
0.3,0.4,0.7920196599349063,0.6417173252279635,0.8357248886689758,0.7259832366215346,2632
0.3,0.45,0.7918713337458804,0.6130434782608696,0.8372093023255814,0.7078017151223593,2760
0.3,0.6,0.7902028920945868,0.5075154730327144,0.8520534388916378,0.6361285555966013,3393
0.3,0.5,0.789961944378315,0.5819615912208504,0.8396833250865908,0.6874620214705287,2916
0.3,0.3,0.7868021701962727,0.6726094003241491,0.8213755566551212,0.73958565382045,2468
0.35,0.4,0.7865155310661798,0.6853978671041837,0.8268184067293419,0.749495402556627,2438
0.35,0.55,0.7860235310910867,0.5909727081875438,0.8357248886689758,0.6923549907767985,2858
0.35,0.45,0.7860139144851963,0.6566052528420228,0.8287976249381495,0.7327209098862643,2551
0.35,0.6,0.7838539634577335,0.5515112122196945,0.8396833250865908,0.6657512750098077,3077
0.35,0.5,0.7834195203464837,0.6247207743857036,0.830282038594755,0.7129806670915657,2686
0.4,0.4,0.7832424411273876,0.7168179853004756,0.8203859475507175,0.7651130595293032,2313
0.4,0.45,0.7827040197482349,0.6887966804979253,0.8213755566551212,0.7492665312570527,2410
0.35,0.3,0.7821468335648116,0.7132957990472066,0.8149430974764967,0.7607390300230947,2309
0.4,0.55,0.7820927619732853,0.6268265267890596,0.8278080158337456,0.7134328358208955,2669
0.4,0.6,0.7806351679270489,0.5895548545390816,0.8322612568035626,0.6901928600738613,2853
0.4,0.5,0.7799499038825555,0.6592621975406585,0.822365165759525,0.7318361955085866,2521
0.4,0.3,0.77741947916724,0.7378904481665912,0.8065314200890649,0.7706855791962176,2209
0.5,0.4,0.7739404679230886,0.7711301044634378,0.8035625927758535,0.7870123576447783,2106
0.5,0.45,0.7732293601751632,0.7512713823393435,0.8040573973280554,0.7767686424474187,2163
0.5,0.55,0.770780463398135,0.6940425531914893,0.8070262246412667,0.7462823152596659,2350
0.5,0.6,0.7703676019151056,0.6610237807335752,0.8114794656110836,0.7285650821856953,2481
0.5,0.5,0.7699440094901873,0.727069351230425,0.8040573973280554,0.7636278195488722,2235
0.5,0.3,0.7681698203352179,0.7860304968027545,0.7906976744186046,0.7883571780957079,2033
