class,AP@0.5,AP@0.75,AP@0.5:0.95,precision,recall,ground_truth,predictions
cat,0.8653190566272347,0.5633358853176661,0.5348716049980102,0.824468085106383,0.8806818181818182,176,188
dog,0.8112649509175446,0.6233571516346949,0.5290374822156052,0.7543103448275862,0.8495145631067961,206,232
car,0.6791865354209513,0.45368371702238564,0.4093190109512084,0.7137809187279152,0.7137809187279152,283,283
person,0.7275454893619909,0.3653099581294123,0.38242113553918183,0.8019512195121952,0.7653631284916201,1074,1025
chair,0.44880555944672695,0.21112441456781192,0.22801957376309798,0.46745562130177515,0.5602836879432624,282,338
