confidence_threshold,nms_threshold,mAP,micro_precision,micro_recall,f1,num_predictions
0.01,0.5,0.7704083729478444,0.05047089399994411,0.8936170212765957,0.09554544492646282,35783
0.05,0.5,0.7701344424216257,0.15251079684986027,0.8911429985155863,0.2604483007953724,11809
0.01,0.45,0.7700768729148456,0.05392215929630076,0.8857001484413657,0.1016554504926598,33196
0.05,0.45,0.7698173608995713,0.16907938310152332,0.88421573478476,0.28387609213661635,10569
0.1,0.5,0.768357603786564,0.2502102607232969,0.8832261256803563,0.3899508465319497,7134
0.01,0.4,0.7674557574110059,0.05695632597928861,0.8762988619495299,0.10696059187679301,31094
0.01,0.55,0.767430759618972,0.04639214589109037,0.9025235032162295,0.08824810102085248,39317
0.05,0.4,0.7671887820185053,0.18476329815027692,0.8748144482929243,0.30509059534081107,9569
0.05,0.55,0.7670775581113807,0.13502673796791445,0.8995546759030183,0.23480787859218596,13464
0.1,0.45,0.7669299483203842,0.2757921023880131,0.8743196437407225,0.41931656383483623,6407
0.1,0.55,0.7652657574685152,0.22197530864197532,0.8896585848589807,0.3553008595988539,8100
0.15,0.5,0.7638794856786195,0.3326391518364256,0.8693715982187036,0.48117212104614543,5282
0.1,0.4,0.7638089709995383,0.29579375848032563,0.8629391390400791,0.440570923329544,5896
0.15,0.45,0.762938776590586,0.3638453500522466,0.8614547253834736,0.5116074052306788,4785
0.15,0.55,0.7616641861043177,0.2986684645204787,0.8767936665017318,0.4455619813930098,5933
0.15,0.4,0.7605848156296802,0.3868940754039497,0.8530430479960416,0.5323452215531882,4456
0.01,0.6,0.7597512504496595,0.04044556424877337,0.9054923305294409,0.07743245816320055,45246
0.05,0.6,0.7595559319887251,0.1164466551878069,0.9035131123206334,0.2063043723873009,15681
0.01,0.3,0.7580820966293053,0.0628226249313564,0.8490846115784265,0.1169893646032179,27315
0.05,0.3,0.7579408651797974,0.20838396111786148,0.8485898070262247,0.33460150229245933,8230
0.1,0.6,0.7579178223038207,0.19311377245508982,0.8936170212765957,0.317594302294909,9352
0.2,0.5,0.7563244083745595,0.4119760479041916,0.851063829787234,0.5551969012265978,4175
0.2,0.45,0.755331169161645,0.44906554356409584,0.8441365660564077,0.5862542955326461,3799
0.1,0.3,0.7553128169128571,0.3241642788920726,0.8396833250865908,0.46775082690187436,5235
0.2,0.55,0.754884157578289,0.37357434904239295,0.8589807026224642,0.5206958608278344,4647
